key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-client-01,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",client1,client1
user-account-client-02,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",client2,client2
user-account-manager-01,true,"UserIdentity{name: 'Luis', surname: 'Giraldo', email: 'luisGiraldo@acme.com'}",manager1,manager1
user-account-manager-02,true,"UserIdentity{name: 'David', surname: 'Guillén', email: 'davidGuillen@acme.com'}",manager2,manager2
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'AcmeSF', email: 'administrator1@acmesf.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'AcmeSF', email: 'administrator2@acmesf.com'}",administrator2,administrator2
user-account-auditor-01,true,"UserIdentity{name: 'Rafael', surname: 'Molina', email: 'rafaelMolina@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Rafael', surname: 'García', email: 'rafaelGarcía@acme.com'}",auditor2,auditor2
user-account-sponsor-01,true,"UserIdentity{name: 'Sponsor1', surname: 'AcmeSF', email: 'sponsor1@acmesf.com'}",sponsor1,sponsor1
user-account-sponsor-02,true,"UserIdentity{name: 'Sponsor2', surname: 'AcmeSF', email: 'sponsor2@acmesf.com'}",sponsor2,sponsor2
user-account-sponsor-03,true,"UserIdentity{name: 'Sponsor3', surname: 'AcmeSF', email: 'sponsor3@acmesf.com'}",sponsor3,sponsor3
user-account-sponsor-04,true,"UserIdentity{name: 'Sponsor4', surname: 'AcmeSF', email: 'sponsor4@acmesf.com'}",sponsor4,sponsor4
user-account-sponsor-05,true,"UserIdentity{name: 'Sponsor5', surname: 'AcmeSF', email: 'sponsor5@acmesf.com'}",sponsor5,sponsor5
user-account-sponsor-06,true,"UserIdentity{name: 'Sponsor6', surname: 'AcmeSF', email: 'sponsor6@acmesf.com'}",sponsor6,sponsor6
user-account-sponsor-07,true,"UserIdentity{name: 'Sponsor7', surname: 'AcmeSF', email: 'sponsor7@acmesf.com'}",sponsor7,sponsor7
user-account-sponsor-08,true,"UserIdentity{name: 'Sponsor8', surname: 'AcmeSF', email: 'sponsor8@acmesf.com'}",sponsor8,sponsor8
user-account-sponsor-09,true,"UserIdentity{name: 'Sponsor9', surname: 'AcmeSF', email: 'sponsor2@acmesf.com'}",sponsor9,sponsor9
user-account-developer-01,true,"UserIdentity{name: 'Developer1', surname: 'AcmeSF', email: 'developer1@acmesf.com'}",developer1,developer1
user-account-developer-02,true,"UserIdentity{name: 'Developer2', surname: 'AcmeSF', email: 'developer2@acmesf.com'}",developer2,developer2
